country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,360,364,371,378,383,385,387,390,392,393,395,399,402,408,414,420,426,433,441,448,455,467,480,492,504,515,532,552,572,585
Angola,283,292,303,314,323,332,340,352,369,385,399,413,427,447,471,490,513,530,552,581,616,656,699,737,770,819,865,921,989,1050
Albania,194,200,206,215,220,235,254,269,280,298,314,324,349,374,395,409,418,436,465,492,517,543,565,590,629,681,711,739,766,792
Andorra,13.9,15.3,16.8,18.9,20.3,21.4,22.8,24.6,26.6,28.2,29.8,31.1,32.7,34.6,36.2,37.3,38.7,40.1,41.8,43.4,44.9,42,40.9,41.9,43.1,44.3,45.9,47.9,50,52.1
UAE,32.4,36.9,41.3,45.7,51.8,58,63.6,67.4,72.4,78.9,89.1,99,108,115,124,137,151,161,175,192,208,236,267,303,338,379,427,480,549,624
Argentina,4640,4830,5150,5400,5710,6020,6430,6890,7330,7640,7820,8070,8340,8530,8690,8960,9180,9410,9390,9440,9540,9700,9840,9870,9860,10.1k,10.5k,10.9k,11.2k,11.6k
Armenia,145,149,158,172,180,187,200,209,224,246,265,281,297,314,327,349,368,375,384,399,419,440,449,453,477,504,520,534,545,560
American Samoa,4.45,4.56,4.66,4.88,5.19,5.47,5.74,5.98,6.2,6.33,6.79,7.18,7.48,7.78,8.05,8.47,8.87,9.17,9.42,9.62,9.79,10.2,10.6,10.8,11,11,11.2,11.4,11.8,12.1
Antigua and Barbuda,29.6,30.9,32.4,35.4,36.7,37.5,32.9,33,33.8,35.5,37.6,38.1,39,40,41.6,42.6,46.3,62,64.3,57.2,56.9,58.3,60.1,59.4,60.2,61.4,63,66.7,70.5,75
Australia,6710,7430,8390,9390,10.2k,10.6k,10.9k,11k,11.4k,11.7k,12.1k,12.7k,13.6k,14.9k,15.5k,16.2k,16.6k,17.3k,17.8k,18k,18.1k,18k,17.9k,18k,18.3k,18.8k,19.1k,19.9k,20.7k,21.4k
Austria,3270,3460,3620,3840,4020,4240,4420,4610,4810,5010,5200,5280,5440,5550,5700,5780,5740,5840,5870,6000,6050,6040,6120,6240,6380,6560,6600,6700,6810,6950
Azerbaijan,244,251,258,266,275,278,281,286,294,306,321,341,362,382,386,404,426,446,469,486,503,526,546,566,588,610,643,677,694,724
Burundi,229,232,234,238,239,243,243,243,243,242,244,244,250,259,270,281,288,295,304,313,329,343,358,371,383,399,413,432,457,477
Belgium,4490,4660,4880,5090,5250,5400,5470,5660,5780,6000,6110,6340,6710,7120,7400,7630,7620,7700,7930,7680,7480,7260,7180,7110,7150,7290,7360,7630,7860,8110
Benin,162,167,171,176,182,190,198,205,213,222,237,249,265,277,290,302,318,328,348,366,384,403,419,437,449,462,478,502,525,554
Burkina Faso,296,305,314,325,335,347,357,372,391,405,432,446,470,497,530,563,586,603,627,649,687,710,742,779,804,839,866,905,943,970
Bangladesh,1660,1630,1660,1700,1740,1780,1810,1840,1850,1880,1920,1940,2050,2180,2290,2400,2550,2680,2780,2950,3110,3180,3270,3480,3760,3950,4270,4710,5090,5470
